utente,tentativi,minuti,illecito
342760,1,154,0
895078,1,154,0
 36509,1,210,0
182008,1,973,1
961138,2,176,0
 99698,3,169,0
990301,1,187,0
330662,5,167,0
551973,1,971,1
847314,1,577,1
926180,1,173,0
572309,4,964,1
952140,1,186,0
 19582,2,192,0
453012,1,152,0
514390,1,183,0
218063,3,179,0
804341,1,176,0
459506,1,208,0
955703,2,156,0
969932,1,208,0
372790,1,189,0
500531,1,194,0
789549,1,198,0
692503,5,625,1
936684,1,183,0
 76073,14,944,1
465344,1,184,0
670715,1,178,0
281573,1,203,0
650665,2,201,0
 11188,1,158,0
312192,1,171,0
448824,1,198,0
292481,1,170,0
577752,1,206,0
798017,1,979,1
474236,1,180,0
115253,1,188,0
703300,1,148,0
745743,2,204,0
351783,1,167,0
892335,1,151,0
843610,1,193,0
614840,1,990,1
795553,1,168,0
491103,1,135,0
396476,4,938,1
 43567,2,150,0
263042,2,182,0
713536,1,174,0
936551,1,201,0
877603,3,959,1
285404,1,188,0
769488,1,169,0
148001,1,176,0
452893,3,201,0
747419,1,201,0
135768,2,195,0
650742,2,200,0
909571,1,212,0
487097,1,211,0
162556,1,193,0
603260,1,158,0
814556,1,950,1
298042,1,182,0
102396,2,187,0
553822,1,157,0
775909,1,171,0
897660,1,204,0
713612,1,205,0
651566,2,176,0
142725,1,140,0
398469,3,192,0
263350,1,193,0
336239,1,157,0
516688,1,164,0
621709,1,164,0
828969,1,198,0
709967,1,213,0
781036,1,175,0
271116,1,158,0
990301,1,185,0
557007,3,143,0
589478,3,180,0
 73259,2,180,0
900520,2,189,0
281482,1,197,0
 98890,1,177,0
732979,1,184,0
135666,1,200,0
480477,1,149,0
576636,1,140,0
200075,1,143,0
610926,1,195,0
673283,1,185,0
793526,1,202,0
997870,1,162,0
529985,1,215,0
936551,2,207,0
458873,1,215,0
853154,1,167,0
767961,1,196,0
663376,1,175,0
146511,2,177,0
438401,1,172,0
386068,2,153,0
685307,3,596,1
400785,1,183,0
411676,3,930,1
838826,1,188,0
167505,2,190,0
963734,1,215,0
117458,13,975,1
421361,1,151,0
808744,2,150,0
710346,2,194,0
989875,1,209,0
508193,1,583,1
271116,2,175,0
 73259,1,170,0
756347,1,171,0
817264,2,177,0
798017,2,168,0
358143,1,194,0
463486,1,202,0
258314,4,621,1
849811,1,190,0
969308,2,168,0
391652,1,218,0
525866,1,180,0
707102,1,154,0
315536,1,202,0
494896,1,225,0
336632,2,183,0
651184,1,177,0
627567,1,180,0
794194,1,150,0
360509,4,211,0
507227,1,211,0
468924,2,191,0
229629,1,145,0
970415,1,165,0
350421,1,179,0
917765,1,170,0
138407,1,199,0
 19582,1,194,0
812219,1,170,0
692461,1,164,0
525389,6,592,1
471167,1,195,0
168174,1,142,0
159738,2,1002,1
 37055,1,196,0
871947,1,190,0
983786,3,188,0
396476,1,149,0
957261,1,191,0
913328,1,159,0
828093,1,123,0
470948,2,192,0
949585,2,175,0
344197,1,196,0
812219,1,159,0
749628,1,177,0
731220,1,181,0
723681,1,217,0
151388,2,209,0
574440,1,210,0
127348,1,179,0
197392,2,165,0
892022,1,212,0
460822,1,161,0
934609,2,194,0
350623,1,169,0
785781,1,215,0
219529,4,643,1
920051,2,171,0
765946,1,182,0
119424,1,145,0
  4978,1,172,0
357361,5,940,1
534232,1,190,0
836518,1,163,0
647539,1,187,0
307515,1,158,0
672897,1,944,1
207919,3,168,0
238734,2,597,1
247094,1,184,0
354508,1,154,0
370749,2,936,1
324187,3,162,0
877603,1,187,0
892022,1,183,0
827438,2,629,1
771199,1,167,0
184043,1,149,0
369601,2,174,0
792238,1,156,0
238837,1,191,0
700832,2,141,0
 72526,1,167,0
673107,1,194,0
859166,1,189,0
565160,1,157,0
240498,1,171,0
308871,1,203,0
932772,1,173,0
 85294,1,191,0
 15209,1,197,0
148568,1,157,0
253194,2,192,0
718745,1,163,0
832391,1,148,0
  8666,3,141,0
541208,2,614,1
446181,1,182,0
904225,1,191,0
838034,1,188,0
725293,1,176,0
  6705,1,180,0
274374,2,165,0
310080,1,168,0
 87338,1,164,0
 80603,3,599,1
881722,2,165,0
458873,2,165,0
307999,8,951,1
 77880,1,160,0
704404,1,176,0
478506,1,194,0
661538,1,187,0
335475,1,173,0
432356,1,208,0
937346,1,974,1
369124,1,193,0
527704,1,197,0
905584,1,162,0
 98890,2,166,0
836518,2,171,0
710392,1,192,0
680974,1,206,0
317241,2,181,0
  4978,1,582,1
189142,1,183,0
630310,1,193,0
924055,1,182,0
832391,1,164,0
 43047,6,593,1
696634,1,174,0
946843,1,200,0
205874,1,195,0
703300,1,168,0
679737,1,190,0
 51680,1,156,0
913683,1,184,0
712588,1,208,0
